topology	sparsity	num_routers	nodes_per_router	rate	s	s/s	r	r/s	drop%
single_switch	None	1	8	8k	49474	4945	45730	4571	7.0
single_switch	None	1	8	16k	78073	7805	70802	7077	8.75
single_switch	None	1	8	24k	104902	10488	96759	9674	7.0
single_switch	None	1	8	32k	111560	11154	104137	10412	6.0
single_switch	None	1	8	40k	120959	12094	108083	10806	10.25
single_switch	None	1	8	48k	146560	14655	128853	12884	11.5
single_switch	None	1	8	56k	137895	13788	127089	12707	7.5
single_switch	None	1	8	64k	148438	14842	136839	13682	7.5
single_switch	None	1	8	72k	164217	16420	152177	15215	6.75
single_switch	None	1	8	80k	194142	19412	104988	10497	44.75
single_switch	None	1	8	88k	154232	15422	126471	12645	17.75
single_switch	None	1	8	96k	180717	18070	102807	10279	42.5
single_switch	None	1	8	8k	48910	4889	44839	4482	8.0
single_switch	None	1	8	16k	75191	7517	69226	6921	7.75
single_switch	None	1	8	24k	102745	10273	94984	9497	6.75
single_switch	None	1	8	32k	119380	11936	108323	10831	8.75
single_switch	None	1	8	40k	112611	11260	101563	10154	9.5
single_switch	None	1	8	48k	128052	12803	115190	11518	9.25
star	None	4	2	8k	50279	5027	50004	4999	0.0
star	None	4	2	16k	86746	8674	86171	8616	0.25
star	None	4	2	24k	102405	10240	100891	10086	1.0
star	None	4	2	32k	100762	10075	99161	9914	1.25
star	None	4	2	40k	106315	10630	105119	10509	0.75
star	None	4	2	48k	141571	14154	133068	13304	5.25
star	None	4	2	56k	144818	14480	122182	12216	14.0
star	None	4	2	64k	148676	14866	147695	14768	0.0
star	None	4	2	72k	129674	12965	128555	12854	0.5
star	None	4	2	80k	116627	11660	114151	11413	1.75
star	None	4	2	88k	118681	11865	115852	11583	2.25
star	None	4	2	96k	120959	12094	118205	11819	2.0
chain	None	4	2	8k	54342	5432	54039	5402	0.0
chain	None	4	2	16k	77275	7725	76953	7693	0.0
chain	None	4	2	24k	104052	10404	103437	10342	0.0
chain	None	4	2	32k	97572	9756	96827	9682	0.25
chain	None	4	2	40k	99025	9902	96911	9689	1.5
chain	None	4	2	48k	127776	12776	121908	12190	4.0
chain	None	4	2	56k	114840	11481	107126	10711	6.0
chain	None	4	2	64k	117450	11744	97464	9744	16.75
chain	None	4	2	72k	162559	16254	101459	10144	37.0
chain	None	4	2	80k	143112	14309	129536	12952	9.25
chain	None	4	2	88k	153468	15346	95235	9522	37.5
chain	None	4	2	96k	114931	11491	100137	10011	12.25
random	0.25	4	2	8k	50423	5040	50184	5016	0.0
random	0.25	4	2	16k	83900	8388	83163	8315	0.5
random	0.25	4	2	24k	102694	10267	101947	10193	0.0
random	0.25	4	2	32k	109785	10976	108792	10877	0.5
random	0.25	4	2	40k	110392	11037	109570	10955	0.5
random	0.25	4	2	48k	140691	14067	138607	13859	0.75
random	0.25	4	2	56k	136960	13694	122009	12200	10.75
random	0.25	4	2	64k	131230	13122	129291	12927	1.0
random	0.25	4	2	72k	121010	12099	116168	11616	3.75
random	0.25	4	2	80k	141813	14180	134067	13404	5.0
random	0.25	4	2	88k	143580	14357	141554	14153	0.75
random	0.25	4	2	96k	130460	13043	123284	12327	5.25
random	0.5	4	2	8k	51133	5112	50877	5086	0.0
random	0.5	4	2	16k	82788	8277	82305	8228	0.0
random	0.5	4	2	24k	82565	8254	82049	8203	0.25
random	0.5	4	2	32k	96368	9634	94667	9465	1.5
random	0.5	4	2	40k	138344	13834	112989	11297	16.0
random	0.5	4	2	48k	133180	13317	128140	12811	3.25
random	0.5	4	2	56k	129957	12994	126945	12692	1.75
random	0.5	4	2	64k	146654	14664	145165	14514	0.5
random	0.5	4	2	72k	139694	13966	137178	13716	1.25
random	0.5	4	2	80k	138708	13869	137836	13782	0.25
random	0.5	4	2	88k	122605	12258	119792	11977	1.75
random	0.5	4	2	96k	155445	15543	146963	14694	5.0
