topology	sparsity	num_routers	nodes_per_router	rate	s	s/s	r	r/s	drop%
single_switch	None	1	16	16k	91654	9161	87299	8725	4.0
single_switch	None	1	16	32k	165947	16591	141218	14119	14.375
single_switch	None	1	16	48k	171821	17179	114302	11427	32.5
single_switch	None	1	16	64k	227003	22697	134676	13464	40.25
single_switch	None	1	16	80k	224168	22414	147133	14709	32.0
single_switch	None	1	16	96k	246913	24688	140811	14077	42.25
star	None	8	2	16k	96802	9677	90533	9049	5.875
star	None	8	2	32k	146706	14667	70212	7016	51.5
star	None	8	2	48k	144901	14487	72193	7215	49.5
star	None	8	2	64k	169444	16940	50610	5057	69.0
star	None	8	2	80k	208760	20872	48206	4818	76.0
star	None	8	2	96k	148785	14874	61766	6174	57.875
chain	None	8	2	16k	83285	8326	79653	7962	3.875
chain	None	8	2	32k	124238	12420	106049	10600	14.125
chain	None	8	2	48k	162540	16249	104017	10397	35.125
chain	None	8	2	64k	148909	14886	103132	10309	30.375
chain	None	8	2	80k	189538	18950	100004	9996	46.375
chain	None	8	2	96k	176589	17656	99726	9969	42.875
random	0.25	8	2	16k	86375	8633	83682	8364	2.625
random	0.25	8	2	32k	130536	13051	116106	11606	10.625
random	0.25	8	2	48k	136262	13623	113463	11343	16.0
random	0.25	8	2	64k	158076	15805	126636	12659	19.0
