topology	sparsity	num_routers	nodes_per_router	rate	s	s/s	r	r/s	drop%
single_switch	None	1	2	100k	932816	93281	388571	38857	58.0
single_switch	None	1	2	200k	1811187	181118	224026	22402	87.0
single_switch	None	1	2	300k	2293834	229383	235929	23592	89.0
single_switch	None	1	2	400k	2382721	238272	1142282	114228	52.0
single_switch	None	1	2	500k	2853135	285313	966984	96698	66.0
single_switch	None	1	2	600k	3797061	379706	1095658	109565	71.0
single_switch	None	1	2	700k	3727328	372732	1063227	106322	71.0
single_switch	None	1	2	800k	3808813	380881	1082179	108217	71.0
single_switch	None	1	2	900k	3336134	333613	1095833	109583	67.0
single_switch	None	1	2	1000k	2940097	294009	1131034	113103	61.0
