topology	sparsity	num_routers	nodes_per_router	rate	s	s/s	r	r/s	drop%
single_switch	None	1	8	1k	4080854	408084	640766	64075	83.75
single_switch	None	1	8	100k	341696	34169	303830	30381	10.5
single_switch	None	1	8	200k	560658	56064	459608	45959	17.25
single_switch	None	1	8	300k	725824	72581	451556	45153	37.25
single_switch	None	1	8	400k	847730	84771	523573	52356	37.75
single_switch	None	1	8	500k	863236	86321	306534	30652	63.75
single_switch	None	1	8	600k	785379	78535	261450	26143	66.25
single_switch	None	1	8	700k	1274922	127490	460199	46018	63.25
single_switch	None	1	8	800k	1664134	166413	369712	36969	77.0
single_switch	None	1	8	900k	1796766	179675	361022	36100	79.25
single_switch	None	1	8	1000k	1811933	181192	542285	54227	69.5
star	None	8	1	1k	883811	88380	226300	22628	71.25
star	None	8	1	100k	241837	24182	173792	17378	27.75
star	None	8	1	200k	303582	30356	201087	20107	32.0
star	None	8	1	300k	598045	59802	186688	18668	65.5
star	None	8	1	400k	458721	45871	212802	21278	52.75
star	None	8	1	500k	725542	72553	193393	19337	71.25
star	None	8	1	600k	779542	77951	181349	18133	73.25
star	None	8	1	700k	1000063	100005	153173	15315	79.5
star	None	8	1	800k	620317	62030	250063	25005	58.5
star	None	8	1	900k	558677	55866	183020	18301	66.75
star	None	8	1	1000k	427781	42777	87532	8751	79.0
chain	None	8	1	1k	974543	97453	181675	18165	81.0
chain	None	8	1	100k	187059	18704	174115	17409	6.25
chain	None	8	1	200k	288793	28878	242193	24217	16.0
chain	None	8	1	300k	300003	29998	219091	21908	26.75
chain	None	8	1	400k	375441	37542	195612	19560	47.5
chain	None	8	1	500k	398967	39894	162368	16236	59.0
chain	None	8	1	600k	566380	56637	246516	24650	56.0
chain	None	8	1	700k	810760	81074	299981	29997	61.75
chain	None	8	1	800k	701245	70123	233706	23369	66.75
chain	None	8	1	900k	838507	83848	273435	27341	67.0
chain	None	8	1	1000k	907553	90754	320278	32026	63.75
random	0.25	8	1	1k	951939	95192	153713	15370	82.75
random	0.25	8	1	100k	226163	22614	218011	21799	3.75
random	0.25	8	1	200k	272591	27257	248443	24842	8.75
random	0.25	8	1	300k	364915	36490	318070	31805	12.25
random	0.25	8	1	400k	424186	42417	269670	26966	35.25
random	0.25	8	1	500k	529241	52922	482352	48234	8.0
random	0.25	8	1	600k	473970	47395	256780	25676	45.25
random	0.25	8	1	700k	523071	52306	399873	39985	20.5
random	0.25	8	1	800k	622158	62214	307386	30737	46.75
random	0.25	8	1	900k	516851	51684	384172	38415	23.5
random	0.25	8	1	1000k	740976	74096	535885	53587	25.75
random	0.5	8	1	1k	1087122	108711	514594	51457	46.75
random	0.5	8	1	100k	203365	20335	201120	20110	0.75
random	0.5	8	1	200k	327350	32733	316824	31680	2.5
random	0.5	8	1	300k	331457	33144	245607	24558	25.5
random	0.5	8	1	400k	487835	48783	428957	42894	11.25
random	0.5	8	1	500k	591941	59192	249826	24980	57.25
random	0.5	8	1	600k	676645	67663	318996	31897	51.75
random	0.5	8	1	700k	703281	70326	217884	21786	68.5
random	0.5	8	1	800k	674209	67419	483574	48356	28.5
random	0.5	8	1	900k	593725	59371	452815	45281	22.5
random	0.5	8	1	1000k	751589	75156	504900	50488	30.75
